Augment,Tier,Type
악의적 수익 창출,B,['Economy']
야수를 풀어라,B,"['Items', 'Combat']"
양보다 질,A,['Combat']
어수선한 마음,C,['Economy']
연결 불가,A,['Economy']
연속 타격,A,['Combat']
영감적인 비문,A,['Combat']
영광스러운 진화,C,"['Items', 'Scaling', 'Strategic']"
영웅 꾸러미,A,['Economy']
영원한 브론즈 I,B,['Combat']
영원한 브론즈 II,A,['Combat']
예상된 예상 밖의 결과,S,"['Items', 'Economy', 'Strategic']"
오늘은 아니야,B,"['Items', 'Combat']"
왕관의 의지,B,"['Items', 'Combat']"
요리용 냄비,S,"['Combat', 'Scaling', 'Strategic']"
요지부동,S,['Combat']
우정과 유령,S,['Combat']
위력 강화,B,"['Scaling', 'Strategic']"
위약 효과,C,"['Economy', 'Combat']"
위약 효과+,A,"['Economy', 'Combat']"
위험한 행보,B,['Economy']
유리 대포 I,C,['Combat']
유리 대포 II,A,['Combat']
유연함,B,['Strategic']
유용한 금속,A,"['Items', 'Combat']"
육중한 강타,C,"['Combat', 'Economy']"
은수저,B,['Economy']
응당한 대가,C,['Economy']
의무병,A,['Combat']
이상한 금요일,B,['Items']
이상한 금요일 +,C,['Items']
이제 내가 주인공이야,B,['Combat']
이중 기술,A,['Economy']
이중 형태,A,"['Combat', 'Economy']"
임무 재시작,S,['Economy']
입맛대로 고르는 부품,A,['Items']
자동기계 문장,B,['Economy']
자동기계 왕관,C,['Economy']
작은 친구들,A,['Combat']
잔혹한 복수,S,['Combat']
장기 투자,B,['Strategic']
재빠른 무장,A,"['Items', 'Economy']"
재빠른 무장+,A,"['Items', 'Economy']"
재활용 쓰레기통,B,['Items']
재활용 쓰레기통,A,['Items']
재활용 쓰레기통+,B,['Items']
저격수 문장,B,['Economy']
저격수 왕관,A,['Economy']
저격수의 은신처,B,"['Combat', 'Economy']"
전략가의 주방,S,"['Items', 'Combat']"
전리품 I,B,['Economy']
전리품 II,C,['Economy']
전리품 III,C,['Economy']
전리품 폭발,A,"['Items', 'Economy']"
전투의 상흔,C,['Combat']
"젊음, 광란, 자유",C,"['Items', 'Economy']"
점수판 등반가,B,"['Combat', 'Scaling']"
점심값,C,['Economy']
점화단 문장,B,['Economy']
점화단 왕관,C,['Economy']
정교한 공예,A,['Economy']
정렬,B,['Combat']
정복자 문장,B,['Economy']
정복자 왕관,A,['Economy']
정신 결속,B,['Combat']
조작된 상점+,B,['Economy']
종목 분산 투자,B,['Economy']
종목 분산 투자+,B,['Economy']
주사위 던지기,A,['Items']
주시자 문장,A,['Economy']
주시자 왕관,C,['Economy']
죽음의 고통,B,"['Items', 'Scaling']"
준비 운동 I,A,"['Combat', 'Scaling']"
준비 운동 II,B,"['Combat', 'Scaling']"
준비 운동 III,A,"['Combat', 'Scaling']"
중심 잡기,C,['Combat']
지배,B,"['Combat', 'Economy']"
지배자 문장,A,['Economy']
지배자 왕관,B,['Economy']
지원 상자,A,['Combat']
지원 채굴,A,['Combat']
지원 채굴+,A,['Combat']
진심 발휘,S,"['Combat', 'Strategic']"
진정한 모습,C,"['Items', 'Scaling', 'Strategic']"
집행자 문장,B,['Economy']
집행자 왕관,B,['Economy']
찬란한 유물,B,['Items']
찬란한 재조정기,A,['Items']
참는 자에게 복을,A,['Economy']
창의 의지,B,"['Items', 'Combat']"
철퇴의 의지,A,"['Items', 'Combat']"
체력이 곧 재산 I,A,"['Economy', 'Combat']"
체력이 곧 재산 II,A,"['Economy', 'Combat']"
최대치,S,"['Economy', 'Combat']"
출세가도,A,['Economy']
출정,D,"['Items', 'Economy', 'Scaling']"
친구 만들기!,B,"['Economy', 'Strategic']"
큰 꾸러미,A,['Items']
투사 문장,B,['Economy']
투사 왕관,B,['Economy']
투자 전략 I,A,"['Combat', 'Scaling']"
투자 전략 II,S,"['Economy', 'Combat', 'Scaling']"
투자+,B,['Economy']
투자++,B,['Economy']
트롤 나가신다,S,['Combat']
특성 추적자,B,['Strategic']
특성: 계엄령,S,"['Combat', 'Economy', 'Strategic']"
특성: 또 다른 결말,A,"['Combat', 'Economy', 'Strategic']"
특성: 뜻밖의 2인조,B,"['Combat', 'Economy', 'Strategic']"
특성: 모략,A,"['Economy', 'Strategic']"
특성: 배신,A,"['Combat', 'Economy', 'Strategic']"
특성: 자매,B,"['Combat', 'Economy', 'Strategic']"
특성: 재회,S,"['Combat', 'Economy', 'Strategic']"
특성: 천재,B,"['Combat', 'Economy', 'Strategic']"
파랗게 물들여라,S,"['Combat', 'Scaling']"
파묻힌 보물 III,S,['Items']
파이트 머니,B,['Items']
판도라의 대기석,S,['Economy']
판도라의 아이템,B,['Items']
판도라의 아이템 II,B,"['Items', 'Scaling']"
판도라의 아이템 III,B,['Items']
편식,B,"['Economy', 'Strategic']"
포수 문장,B,['Economy']
포수 왕관,C,['Economy']
포탑 방어,A,['Combat']
프리즘 공급,B,"['Items', 'Economy', 'Scaling']"
프리즘 티켓,A,['Economy']
피나는 훈련,B,"['Combat', 'Economy']"
핏빛 계약,A,['Combat']
"하나, 둘, 다섯!",B,"['Items', 'Economy']"
"하나, 둘, 셋",B,['Economy']
학술 연구,A,"['Items', 'Economy']"
행운의 장갑,S,['Items']
행운의 장갑+,S,['Items']
헤지 펀드,C,['Economy']
협력 I,B,"['Items', 'Economy']"
협력 II,A,"['Economy', 'Combat']"
혼돈의 부름,S,['Strategic']
환한 달빛,S,['Combat']
황금 더미,C,['Economy']
황금 알,C,"['Items', 'Economy', 'Scaling']"
황금빛 발견,B,['Economy']
후반 전문가,C,"['Economy', 'Scaling']"
후발 주자,S,"['Scaling', 'Strategic']"
후방 지원,C,['Combat']
훈련 봇 변환,B,"['Combat', 'Strategic']"
휴대용 대장간,S,['Items']
흡혈의 활력,B,"['Combat', 'Strategic']"
흥청망청,C,['Economy']
희생양,B,['Economy']
